Program,HH_Composition,HH_Income,Housing_Cost,Education_Track,Gentrification,Graduated,Education_TrackY
REG,2,7384,10020,,4,0,0
REG,1,13233,17988,Workforce Development Training,1,0,1
REG,1,13233,17988,Workforce Development Training,1,0,1
FLOW,1,0,10620,,4,0,0
REG,2,13393,13980,,4,0,0
REG,5,22020,23364,,4,0,0
FLOW,3,33868,17544,,3,0,0
FLOW,3,33868,17544,,3,0,0
FUPF,3,48943,13728,,4,0,0
REG,2,0,12156,,4,0,0
REG,6,11064,20376,,3,0,0
REG,2,11000,13260,,4,0,0
FLOW,3,7488,14568,,3,0,0
VASH,1,5006,14916,,3,0,0
REG,4,7280,17328,,4,0,0
REG,5,18727,16356,,3,0,0
REG,5,18727,16356,,3,0,0
REG,1,23690,11184,,3,0,0
FLOW,2,30045,14928,,4,0,0
REG,1,11675,12792,,4,0,0
REG,3,11700,20508,,4,0,0
REG,3,11700,20508,,4,0,0
REG,3,19656,13752,,3,0,0
FUPF,2,18951,10392,Employment Prep Placement and Retention Services,4,0,1
FUPF,2,18951,10392,Job Placement for Long Term Unemployed,4,0,1
FUPF,2,18951,10392,Workforce Development Training,4,0,1
FUPF,2,18951,10392,Workforce Development Training,4,0,1
REG,1,16586,12492,,4,0,0
REG,4,11005,21672,,3,0,0
REG,3,22464,14100,,4,0,0
REG,3,57985,27576,,3,0,0
REG,3,57985,27576,,3,0,0
REG,3,36848,17400,,3,0,0
REG,2,23400,14208,,4,0,0
FLOW,3,11919,15432,,4,0,0
PAV,4,19506,13956,,3,0,0
HOPE6,3,33213,16908,,3,0,0
HOPE6,3,33213,16908,,3,0,0
REG,5,5356,19692,,4,0,0
PHRR,2,18353,14328,,4,0,0
HOPE6,2,30141,13188,,4,0,0
REG,3,17610,22380,,4,0,0
REG,3,45531,22236,,2,0,0
REG,3,45531,22236,,2,0,0
REG,3,45531,22236,,2,0,0
REG,5,18401,13812,,4,0,0
REG,5,18401,13812,,4,0,0
REG,3,18980,19440,,3,0,0
REG,5,28921,15528,Family Support and Counseling Services,3,0,1
REG,5,28921,15528,,3,0,0
REG,1,25106,13296,,4,0,0
REG,4,13009,26376,,1,0,0
REG,4,13009,26376,,1,0,0
REG,2,12442,23844,,0,0,0
REG,2,12442,23844,,0,0,0
REG,2,0,14208,,4,0,0
FUPF,6,9600,17364,,4,0,0
REG,4,22113,22896,,4,0,0
HOPE6,5,39328,26364,,4,0,0
HOPE6,5,39328,26364,,4,0,0
REG,4,14196,19944,,4,0,0
REG,4,26216,23376,,2,0,0
REG,4,26216,23376,,2,0,0
REG,3,13364,17268,,4,0,0
FUPF,4,1177,18360,,4,0,0
PHRR,3,38163,22728,,4,0,0
PHRR,3,38163,22728,,4,0,0
PHRR,3,38163,22728,,4,0,0
REG,5,31714,17856,Job Placement for Long Term Unemployed,3,0,1
REG,5,31714,17856,,3,0,0
REG,4,20980,23376,,2,0,0
REG,4,20980,23376,,2,0,0
REG,1,23050,12588,,4,0,0
REG,3,24352,11232,,4,0,0
REG,3,24352,11232,,4,0,0
REG,1,0,19884,,0,0,0
REG,3,41006,22404,,4,0,0
REG,3,41006,22404,,4,0,0
PHRR,3,15981,24768,Workforce Development Training,3,0,1
PHRR,3,15981,24768,Workforce Development Training,3,0,1
PHRR,3,15981,24768,Workforce Development Training,3,0,1
PHRR,3,15981,24768,,3,0,0
REG,2,22932,15396,,3,0,0
REG,2,22932,15396,,3,0,0
FUPF,2,23389,16524,,4,0,0
REG,4,27555,16884,,3,0,0
REG,4,27555,16884,,3,0,0
REG,2,7748,15228,,4,0,0
REG,2,5616,14304,,4,0,0
REG,4,23161,21600,,4,0,0
REG,3,16848,12660,,4,0,0
REG,4,34916,16788,,4,0,0
REG,4,34916,16788,,4,0,0
REG,3,32808,14208,,4,0,0
REG,2,0,14988,,4,0,0
REG,2,0,14988,,4,0,0
REG,2,30430,12552,,3,0,0
REG,2,20384,20940,,0,0,0
REG,2,9252,15408,,4,0,0
REG,2,25060,16932,,4,0,0
REG,2,12864,14628,,4,0,0
REG,4,48790,29208,,4,0,0
REG,4,48790,29208,,4,0,0
REG,4,48790,29208,,4,0,0
REG,1,14040,15288,Job Skills Training,4,0,1
REG,2,13481,10404,,4,0,0
PHRR,3,16796,15912,,4,0,0
REG,3,32868,15960,,3,0,0
REG,3,32868,15960,,3,0,0
REG,3,0,25476,,0,0,0
REG,2,8216,22032,,4,0,0
REG,4,13897,17484,,3,0,0
REG,2,17160,14484,Workforce Development Training,4,0,1
REG,2,17160,14484,Workforce Development Training,4,0,1
REG,2,17160,14484,Employment Prep Placement and Retention Services,4,0,1
REG,3,17364,25032,,0,0,0
REG,4,42598,19704,,2,0,0
PHRR,3,29151,14928,Job Placement for Long Term Unemployed,4,0,1
REG,4,15548,32112,,2,0,0
REG,2,10608,15024,,2,0,0
REG,4,12870,20964,,4,0,0
REG,5,13404,26232,,3,0,0
PHRR,2,21614,13128,,4,0,0
REG,2,11004,14772,,4,0,0
REG,2,36485,11784,,4,0,0
FUPF,4,26104,18144,,4,0,0
FUPF,4,26104,18144,,4,0,0
FLOW,2,0,15828,,4,0,0
REG,7,9763,27408,,4,0,0
REG,7,9763,27408,,4,0,0
PHRR,1,17503,18348,,4,0,0
REG,3,23315,19164,,3,0,0
REG,2,8320,12480,,3,0,0
REG,2,21149,22128,,0,0,0
REG,7,37730,23256,,3,0,0
REG,7,37730,23256,,3,0,0
REG,7,37730,23256,,3,0,0
REG,7,37730,23256,,3,0,0
REG,4,0,18240,,4,0,0
HOPE6,2,28616,16200,Behavioral Health Counseling and Services; Job Placement for Long Term Unemployed,4,0,1
HOPE6,2,28616,16200,Behavioral Health Counseling and Services; Job Placement for Long Term Unemployed,4,0,1
REG,2,750,11784,,4,0,0
REG,4,32025,13524,,4,0,0
REG,4,32025,13524,,4,0,0
VASH,1,13752,18852,,0,0,0
REG,5,12273,22764,,4,0,0
REG,5,12273,22764,,4,0,0
REG,3,27713,18012,,4,0,0
REG,2,30053,15264,,4,0,0
REG,2,30053,15264,,4,0,0
REG,2,22980,14748,,4,0,0
FUPF,5,36982,25008,,3,0,0
FUPF,5,36982,25008,,3,0,0
FUPF,5,36982,25008,,3,0,0
REG,2,31147,28908,,3,0,0
REG,2,31147,28908,,3,0,0
REG,2,24713,19164,,4,0,0
REG,2,24713,19164,,4,0,0
REG,2,13650,14028,,4,0,0
REG,2,0,14988,,4,0,0
REG,6,65303,15972,,4,0,0
REG,3,15990,14628,,4,0,0
REG,4,16587,19404,,4,0,0
REG,4,16587,19404,,4,0,0
REG,4,16587,19404,,4,0,0
REG,4,38238,19176,,4,0,0
REG,4,38238,19176,,4,0,0
REG,4,38238,19176,,4,0,0
REG,2,43184,16968,,4,0,0
REG,4,20200,16740,,4,0,0
REG,3,12927,26148,,3,0,0
REG,4,12742,28140,,3,0,0
REG,4,12742,28140,,3,0,0
REG,1,17391,11724,Job Placement for Long Term Unemployed,4,0,1
REG,1,17391,11724,Job Placement for Long Term Unemployed,4,0,1
REG,1,17391,11724,Behavioral Health Counseling and Services,4,0,1
REG,6,12168,23976,,4,0,0
REG,3,21872,26784,,1,0,0
REG,4,9252,18360,,4,0,0
REG,5,7713,16764,,4,0,0
FLOW,5,31532,19368,,3,0,0
REG,2,18374,16776,,3,0,0
REG,2,18374,16776,,3,0,0
REG,3,34152,20448,,3,0,0
VASH,1,0,11496,,4,0,0
FLOW,3,0,26376,,4,0,0
REG,2,8880,16404,,3,0,0
REG,1,7358,15096,,4,0,0
REG,2,9252,12528,,4,0,0
REG,4,22241,25236,,4,0,0
REG,4,22241,25236,,4,0,0
REG,2,26712,11196,,4,0,0
REG,1,17680,13332,,4,0,0
REG,4,21120,25608,,3,0,0
REG,4,21120,25608,,3,0,0
HOPE6,2,32940,12660,,4,0,0
HOPE6,2,9240,13128,,4,0,0
NED,6,33510,25392,,4,0,0
REG,4,13007,16188,,4,0,0
FUPF,3,22100,26784,,4,0,0
REG,3,19687,16788,,4,0,0
REG,3,19687,16788,,4,0,0
REG,6,29629,24540,,4,0,0
REG,6,29629,24540,,4,0,0
REG,2,30288,17472,,3,0,0
REG,3,27484,15228,,4,0,0
PHRR,3,38865,22800,,4,0,0
PHRR,3,38865,22800,,4,0,0
PHRR,3,38865,22800,,4,0,0
REG,4,39205,18768,,4,0,0
REG,4,39205,18768,,4,0,0
REG,4,39205,18768,,4,0,0
PHRR,2,40159,15888,,4,0,0
PHRR,1,1136,10968,Job Placement for Long Term Unemployed,4,0,1
PHRR,1,1136,10968,Workforce Development Training,4,0,1
PHRR,1,1136,10968,Workforce Development Training,4,0,1
REG,3,22880,19716,,2,0,0
REG,4,18980,14532,,4,0,0
PHRR,2,12267,16632,,4,0,0
PHRR,2,12267,16632,,4,0,0
REG,3,24915,13728,,4,0,0
REG,4,15341,18912,,4,0,0
REG,3,4536,13128,,4,0,0
REG,3,4536,13128,,4,0,0
REG,2,18928,13728,,4,0,0
REG,2,18928,13728,,4,0,0
REG,1,19266,9468,,4,0,0
REG,2,0,18948,Job Placement for Long Term Unemployed,4,0,1
REG,2,0,26004,,0,0,0
REG,2,9945,11928,,4,0,0
REG,3,33049,21672,,4,0,0
REG,1,21860,19884,,0,0,0
REG,3,16054,21564,,3,0,0
REG,3,16054,21564,,3,0,0
HOPE6,2,18867,12732,Job Placement for Long Term Unemployed,4,0,1
HOPE6,2,18867,12732,,4,0,0
REG,3,13783,23376,,4,0,0
REG,4,35200,20472,,4,0,0
REG,2,0,25260,,4,0,0
REG,1,15477,21036,,3,0,0
REG,2,12607,20388,Job Placement for Long Term Unemployed; Job Skills Training,4,0,1
REG,2,12607,20388,,4,0,0
REG,1,26000,13896,,2,0,0
REG,1,11076,13908,,4,0,0
REG,6,18030,24540,,4,0,0
REG,6,18030,24540,,4,0,0
REG,1,17500,16500,Job Placement for Long Term Unemployed,4,0,1
REG,1,17500,16500,Employment Prep Placement and Retention Services,4,0,1
REG,4,10400,18012,,2,0,0
REG,4,10400,18012,,2,0,0
REG,4,10400,18012,,2,0,0
REG,3,19968,14988,,4,0,0
REG,5,12155,22536,,3,0,0
REG,2,18980,13728,,4,0,0
REG,4,27465,16008,,3,0,0
REG,2,9396,12228,,4,0,0
REG,4,37980,20412,,3,0,0
REG,4,37980,20412,,3,0,0
REG,5,32762,24564,,4,0,0
REG,5,32762,24564,,4,0,0
VASH,2,14000,19332,,4,0,0
REG,4,11856,19476,,3,0,0
REG,2,12000,25872,,4,0,0
